"","diff","lwr","upr","p adj"
"75:Control-16:Control",94.7659824966667,66.3136100700685,123.218354923265,1.24887294050691e-06
"16:Treatment-16:Control",-34.3042950166667,-62.7566674432648,-5.85192259006854,0.0155907482019051
"75:Treatment-16:Control",65.43984743,36.9874750034019,93.8922198565982,6.14309223579967e-05
"75:Control-35:Control",67.42861842,38.9762459934019,95.8809908465982,4.54707827202139e-05
"16:Treatment-35:Control",-61.6416590933333,-90.0940315199315,-33.1892866667352,0.000111004858696306
"35:Treatment-35:Control",-42.3723106766667,-70.8246831032648,-13.9199382500685,0.00322350240922509
"75:Treatment-35:Control",38.1024833533334,9.65011092673521,66.5548557799315,0.00735931355449992
"16:Treatment-75:Control",-129.070277513333,-157.522649939932,-100.617905086735,3.81827099937837e-08
"35:Treatment-75:Control",-109.800929096667,-138.253301523265,-81.3485566700685,2.42243147430266e-07
"75:Treatment-75:Control",-29.3261350666667,-57.7785074932648,-0.873762640068524,0.0420513880381833
"75:Treatment-16:Treatment",99.7441424466667,71.2917700200685,128.196514873265,7.1063657991477e-07
"75:Treatment-35:Treatment",80.47479403,52.0224216034019,108.927166456598,7.27570225400598e-06
